run_slug,epochs,batch_size,grad_accum_steps,head_lr,encoder_lr,warmup_ratio,imbalance_mode,unfreeze_mode,amp,unfreeze_schedule,best_epoch,best_val_auc,best_val_acc_bestJ,best_val_balacc_bestJ,best_val_loss,best_thr_bestJ
accum_1__bs_8__elr_1.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,5e-05,1e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8222222222222223,0.8205128205128205,0.8166666666666667,0.7105215430259705,0.338134765625
accum_1__bs_8__elr_1.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,5e-05,1e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8222222222222222,0.7948717948717948,0.7958333333333334,0.7295848786830902,0.295166015625
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,5e-05,1.5e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",7.0,0.8527777777777777,0.8205128205128205,0.8291666666666666,0.6727536916732788,0.35205078125
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,5e-05,1.5e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8472222222222222,0.8205128205128205,0.8041666666666667,0.6596726179122925,0.45068359375
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,5e-05,1.5e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8305555555555555,0.8205128205128205,0.8291666666666666,0.6813632786273957,0.320556640625
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,5e-05,1.5e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8527777777777779,0.8205128205128205,0.8166666666666667,0.655126816034317,0.368408203125
accum_1__bs_8__elr_3.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,5e-05,3e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",6.0,0.8527777777777779,0.8461538461538461,0.8500000000000001,0.6323057174682617,0.33056640625
accum_1__bs_8__elr_3.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,5e-05,3e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8388888888888889,0.8461538461538461,0.8375,0.5917280197143555,0.5693359375
accum_1__bs_8__elr_3.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,5e-05,3e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",4.0,0.8388888888888889,0.7948717948717948,0.8083333333333333,0.6676099896430969,0.382568359375
accum_1__bs_8__elr_3.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,5e-05,3e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8527777777777777,0.8461538461538461,0.8375,0.5996125102043152,0.5625
accum_1__bs_8__elr_1.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,3e-05,1e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8083333333333335,0.8205128205128205,0.8166666666666667,0.7261522352695465,0.329833984375
accum_1__bs_8__elr_1.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,3e-05,1e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",7.0,0.8166666666666667,0.7948717948717948,0.7833333333333333,0.7362354934215546,0.324462890625
accum_1__bs_8__elr_1.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,3e-05,1e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8138888888888889,0.8205128205128205,0.8166666666666667,0.7190828382968902,0.35205078125
accum_1__bs_8__elr_1.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,3e-05,1e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8166666666666667,0.7948717948717948,0.7958333333333334,0.7190133929252625,0.3505859375
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,3e-05,1.5e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8527777777777779,0.7948717948717948,0.8083333333333333,0.658601313829422,0.337646484375
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,3e-05,1.5e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8361111111111111,0.7948717948717948,0.7958333333333334,0.675073778629303,0.378173828125
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,3e-05,1.5e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",7.0,0.8388888888888889,0.7692307692307693,0.7875000000000001,0.6928680241107941,0.323974609375
accum_1__bs_8__elr_1.50e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,3e-05,1.5e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8305555555555556,0.7948717948717948,0.7958333333333334,0.667892986536026,0.39697265625
accum_1__bs_8__elr_3.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,3e-05,3e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",5.0,0.8388888888888889,0.8461538461538461,0.8500000000000001,0.6340137720108032,0.3994140625
accum_1__bs_8__elr_3.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,1,3e-05,3e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8458333333333333,0.8461538461538461,0.8375,0.5848411858081818,0.61376953125
accum_1__bs_8__elr_3.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,3e-05,3e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8472222222222222,0.8461538461538461,0.8500000000000001,0.5941948533058167,0.451416015625
accum_1__bs_8__elr_3.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,1,3e-05,3e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",7.0,0.8597222222222223,0.8461538461538461,0.8375,0.5924554467201233,0.57275390625
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,0.0001,1e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8083333333333333,0.7435897435897436,0.7666666666666666,0.714136254787445,0.330810546875
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,0.0001,1e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8166666666666667,0.7948717948717948,0.7833333333333333,0.7208904981613159,0.359619140625
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,0.0001,1e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8083333333333332,0.7435897435897436,0.7541666666666667,0.7154339790344239,0.35107421875
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,0.0001,1e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",1.0,0.8194444444444445,0.7435897435897436,0.7541666666666667,0.7996497035026551,0.4697265625
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,0.0001,1.5e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8222222222222223,0.7948717948717948,0.7833333333333333,0.7031056761741639,0.40771484375
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,0.0001,1.5e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8250000000000001,0.7692307692307693,0.7875000000000001,0.6916485667228699,0.363037109375
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,0.0001,1.5e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8222222222222223,0.7948717948717948,0.7958333333333334,0.6997830212116242,0.35205078125
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,0.0001,1.5e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8138888888888889,0.7435897435897436,0.7666666666666666,0.703744113445282,0.291748046875
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,0.0001,3e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",7.0,0.8486111111111111,0.8461538461538461,0.8375,0.6323578119277954,0.478515625
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,0.0001,3e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8527777777777779,0.8461538461538461,0.8375,0.6230806946754456,0.46044921875
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,0.0001,3e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8444444444444444,0.8461538461538461,0.8375,0.6251085042953491,0.48486328125
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_1.00e-04__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,0.0001,3e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",6.0,0.8527777777777779,0.8461538461538461,0.8375,0.6313978433609009,0.480712890625
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,5e-05,1e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8,0.8205128205128205,0.8166666666666667,0.7374786734580994,0.38037109375
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,5e-05,1e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.7916666666666667,0.7435897435897436,0.7541666666666667,0.7340928971767425,0.353515625
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,5e-05,1e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",7.0,0.8152777777777778,0.7435897435897436,0.7666666666666666,0.7306723356246948,0.31884765625
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,5e-05,1e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8013888888888889,0.7435897435897436,0.7666666666666666,0.7299436807632447,0.359130859375
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,5e-05,1.5e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8305555555555556,0.7948717948717948,0.8083333333333333,0.679846978187561,0.373779296875
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,5e-05,1.5e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8277777777777777,0.8205128205128205,0.8166666666666667,0.7151237368583679,0.35205078125
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,5e-05,1.5e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8180555555555555,0.7692307692307693,0.7875000000000001,0.7058129668235779,0.35400390625
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,5e-05,1.5e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8041666666666667,0.7435897435897436,0.7666666666666666,0.742705512046814,0.279541015625
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,5e-05,3e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8555555555555556,0.8461538461538461,0.8375,0.6396912395954132,0.418212890625
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,5e-05,3e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8361111111111111,0.7948717948717948,0.8083333333333333,0.6636449635028839,0.34130859375
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,5e-05,3e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",7.0,0.8555555555555556,0.8461538461538461,0.8375,0.6571006596088409,0.3798828125
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_5.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,5e-05,3e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8611111111111112,0.8461538461538461,0.8375,0.6193975329399108,0.46044921875
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,3e-05,1e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.7986111111111112,0.7948717948717948,0.7833333333333333,0.7437535643577575,0.359130859375
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,3e-05,1e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.7930555555555556,0.7692307692307693,0.75,0.7422200083732605,0.400634765625
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,3e-05,1e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.8027777777777778,0.7692307692307693,0.775,0.743017601966858,0.3671875
accum_2__bs_8__elr_1.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,3e-05,1e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.7902777777777779,0.7948717948717948,0.7958333333333334,0.7482434630393981,0.382568359375
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,3e-05,1.5e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",6.0,0.8277777777777778,0.7692307692307693,0.7875000000000001,0.7242990851402282,0.336669921875
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,3e-05,1.5e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",8.0,0.7930555555555555,0.7692307692307693,0.75,0.7317259192466736,0.406982421875
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,3e-05,1.5e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8152777777777778,0.7692307692307693,0.7875000000000001,0.7135948777198792,0.340087890625
accum_2__bs_8__elr_1.50e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,3e-05,1.5e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8222222222222222,0.7435897435897436,0.7666666666666666,0.7092526078224182,0.336181640625
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,3e-05,3e-05,0.05,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8416666666666667,0.8461538461538461,0.8500000000000001,0.6503693699836731,0.33544921875
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.0500,10,8,2,3e-05,3e-05,0.05,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",10.0,0.8277777777777777,0.7948717948717948,0.7958333333333334,0.6566118478775025,0.40771484375
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,3e-05,3e-05,0.1,pos_weight,prelast2,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",9.0,0.8527777777777777,0.8461538461538461,0.8500000000000001,0.6518975257873535,0.40380859375
accum_2__bs_8__elr_3.00e-05__ep_10__hlr_3.00e-05__imb_pos_weight__sched_2_11-4_10__warm_0.1000,10,8,2,3e-05,3e-05,0.1,pos_weight,staged,True,"[{'epoch': 2, 'layers': [11]}, {'epoch': 4, 'layers': [10]}]",7.0,0.8402777777777778,0.7948717948717948,0.7958333333333334,0.6573396265506745,0.4013671875
